RNAcentral:URS0000170CF4_9606	URS0000170CF4_9606	Homo sapiens (human) hsa-miR-221-3p
UniProtKB:P01911	HLA-DRB1	HLA class II histocompatibility antigen, DRB1 beta chain
UniProtKB:Q99731	CCL19	C-C motif chemokine 19
UniProtKB:Q8WV28	BLNK	B-cell linker protein
UniProtKB:Q9Y6K9	IKBKG	NF-kappa-B essential modulator
UniProtKB:P21741	MDK	Midkine
UniProtKB:O00574	CXCR6	C-X-C chemokine receptor type 6
UniProtKB:Q92982	NINJ1	Ninjurin-1
UniProtKB:Q6UXL0	IL20RB	Interleukin-20 receptor subunit beta
UniProtKB:P16444	DPEP1	Dipeptidase 1
UniProtKB:Q56P42	PYDC2	Pyrin domain-containing protein 2
UniProtKB:P16050	ALOX15	Polyunsaturated fatty acid lipoxygenase ALOX15
UniProtKB:Q9HBL7	PLGRKT	Plasminogen receptor (KT)
UniProtKB:Q86W26	NLRP10	NACHT, LRR and PYD domains-containing protein 10
UniProtKB:Q86YC3	NRROS	Transforming growth factor beta activator LRRC33
UniProtKB:Q6UW15	REG3G	Regenerating islet-derived protein 3-gamma
UniProtKB:O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
UniProtKB:O75882	ATRN	Attractin
UniProtKB:P51684	CCR6	C-C chemokine receptor type 6
UniProtKB:P51681	CCR5	C-C chemokine receptor type 5
UniProtKB:P04839	CYBB	Cytochrome b-245 heavy chain
UniProtKB:P51679	CCR4	C-C chemokine receptor type 4
UniProtKB:P51677	CCR3	C-C chemokine receptor type 3
UniProtKB:P51671	CCL11	Eotaxin
UniProtKB:Q8TDQ0	HAVCR2	Hepatitis A virus cellular receptor 2
UniProtKB:Q8IXJ6	SIRT2	NAD-dependent protein deacetylase sirtuin-2
UniProtKB:P63000	RAC1	Ras-related C3 botulinum toxin substrate 1
UniProtKB:Q15858	SCN9A	Sodium channel protein type 9 subunit alpha
UniProtKB:P43405	SYK	Tyrosine-protein kinase SYK
UniProtKB:Q9Y6Y9	LY96	Lymphocyte antigen 96
UniProtKB:Q8IZE3	SCYL3	Protein-associating with the carboxyl-terminal domain of ezrin
UniProtKB:Q15399	TLR1	Toll-like receptor 1
UniProtKB:P01375	TNF	Tumor necrosis factor
UniProtKB:P41597	CCR2	C-C chemokine receptor type 2
UniProtKB:P01563	IFNA2	Interferon alpha-2
UniProtKB:P26441	CNTF	Ciliary neurotrophic factor
UniProtKB:Q15139	PRKD1	Serine/threonine-protein kinase D1
UniProtKB:P28799	GRN	Progranulin
UniProtKB:Q15109	AGER	Advanced glycosylation end product-specific receptor
UniProtKB:Q8IWY4	SCUBE1	Signal peptide, CUB and EGF-like domain-containing protein 1
UniProtKB:O00238	BMPR1B	Bone morphogenetic protein receptor type-1B
UniProtKB:O00203	AP3B1	AP-3 complex subunit beta-1
UniProtKB:P61626	LYZ	Lysozyme C
UniProtKB:Q86VB7	CD163	Scavenger receptor cysteine-rich type 1 protein M130
UniProtKB:Q92485	SMPDL3B	Acid sphingomyelinase-like phosphodiesterase 3b
UniProtKB:Q9HB29	IL1RL2	Interleukin-1 receptor-like 2
UniProtKB:Q8IV20	LACC1	Purine nucleoside phosphorylase LACC1
UniProtKB:Q9BZZ2	SIGLEC1	Sialoadhesin
UniProtKB:Q8IV08	PLD3	5'-3' exonuclease PLD3
UniProtKB:Q9BZY9	TRIM31	E3 ubiquitin-protein ligase TRIM31
UniProtKB:P78556	CCL20	C-C motif chemokine 20
UniProtKB:Q86UU9	TAC4	Tachykinin-4
UniProtKB:P78545	ELF3	ETS-related transcription factor Elf-3
UniProtKB:P58062	SPINK7	Serine protease inhibitor Kazal-type 7
RNAcentral:URS00002C0FCB_9606	URS00002C0FCB_9606	Homo sapiens (human) hsa-miR-130b-3p
RNAcentral:URS000018C928_9606	URS000018C928_9606	Homo sapiens (human) hsa-miR-181c-5p
UniProtKB:O60602	TLR5	Toll-like receptor 5
UniProtKB:O60603	TLR2	Toll-like receptor 2
UniProtKB:Q96F46	IL17RA	Interleukin-17 receptor A
UniProtKB:P40200	CD96	T-cell surface protein tactile
UniProtKB:P35542	SAA4	Serum amyloid A-4 protein
UniProtKB:O14931	NCR3	Natural cytotoxicity triggering receptor 3
UniProtKB:O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta
UniProtKB:P50461	CSRP3	Cysteine and glycine-rich protein 3
UniProtKB:P46734	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3
UniProtKB:P02776	PF4	Platelet factor 4
UniProtKB:Q9UQL6	HDAC5	Histone deacetylase 5
UniProtKB:A6NLJ0	C2CD4B	C2 calcium-dependent domain-containing protein 4B
UniProtKB:P40145	ADCY8	Adenylate cyclase type 8
UniProtKB:O14862	AIM2	Interferon-inducible protein AIM2
UniProtKB:P16070	CD44	CD44 antigen
UniProtKB:O14843	FFAR3	Free fatty acid receptor 3
UniProtKB:Q12794	HYAL1	Hyaluronidase-1
UniProtKB:O60674	JAK2	Tyrosine-protein kinase JAK2
UniProtKB:Q9NPH5	NOX4	NADPH oxidase 4
UniProtKB:P05113	IL5	Interleukin-5
UniProtKB:P05112	IL4	Interleukin-4
UniProtKB:P05109	S100A8	Protein S100-A8
UniProtKB:P05107	ITGB2	Integrin beta-2
UniProtKB:Q9NPP4	NLRC4	NLR family CARD domain-containing protein 4
UniProtKB:P03952	KLKB1	Plasma kallikrein
UniProtKB:P05067	APP	Amyloid-beta precursor protein
UniProtKB:Q9C000	NLRP1	NACHT, LRR and PYD domains-containing protein 1
UniProtKB:P30203	CD6	T-cell differentiation antigen CD6
UniProtKB:O43164	PJA2	E3 ubiquitin-protein ligase Praja-2
UniProtKB:P23771	GATA3	Trans-acting T-cell-specific transcription factor GATA-3
UniProtKB:P50052	AGTR2	Type-2 angiotensin II receptor
UniProtKB:P13498	CYBA	Cytochrome b-245 light chain
UniProtKB:Q13291	SLAMF1	Signaling lymphocytic activation molecule
UniProtKB:P08779	KRT16	Keratin, type I cytoskeletal 16
UniProtKB:P60201	PLP1	Myelin proteolipid protein
UniProtKB:Q9NY15	STAB1	Stabilin-1
UniProtKB:Q13568	IRF5	Interferon regulatory factor 5
UniProtKB:Q9BXN2	CLEC7A	C-type lectin domain family 7 member A
